axieId,currentPrice,breedCount,owner,basePrice,endedPrice,duration
11876450,0.01430,3,Boy Helmet,0.01430,0.00000,0
11872871,0.01680,0,RMNzRk,0.01680,0.00000,0
11903756,0.01720,0,FB: Paul Escaño,0.01720,0.00000,0
11891473,0.01730,4,Lunacian #10242597,0.01730,0.00000,0
11872872,0.02000,4,RNZY,0.02000,0.00000,0
11907236,0.02000,0,Youtube.com/@BlueBirdAxie,0.02000,0.00000,0
11907238,0.02100,0,Youtube.com/@BlueBirdAxie,0.02100,0.00000,0
11907237,0.02200,0,Youtube.com/@BlueBirdAxie,0.02200,0.00000,0
11320961,0.02500,4,Peptomano ♠,0.02500,0.00000,0
11923907,0.02500,0,DC:Enchan#0885,0.02500,0.00000,0
11333113,0.02650,3,twitter: @rmljr_ | LFG,0.02650,0.00000,0
11340716,0.03000,3,Twitch.tv/Alig7777,0.03000,0.00000,0
11329773,0.03000,3,Senjuuu,0.03000,0.00000,0
11340732,0.05500,4,ALL IS WELL - GG,0.05500,0.00000,0
11926867,0.07000,0,MOON,0.07000,0.00000,0
11304832,0.11000,4,Yamete Kudasai! | JCG,0.11000,0.00000,0
